phenotype,non-cancer,early,advanced
CD68+CD86+CD163+,19.11774626035044,18.302138694189836,5.9865752465665985
CD68+CD86+CD163-,3.116936775890854,12.087601735602968,2.5953836967488213
CD68+CD86-CD163+,26.053594616928343,16.567819456211968,4.650276937014845
CD68+CD86-CD163-,8.122670624146247,21.425453798557086,6.370580847077234
CD68-CD86+CD163+,7.780326154780175,2.559757631774885,3.025717050672267
CD68-CD86+CD163-,9.128202101286744,9.150427482091967,4.119052031214611
CD68-CD86-CD163+,9.855894901934331,3.1245988343731543,5.296806473531411
CD68-CD86-CD163-,16.824628564682868,16.78220236719813,67.95560771717422
