figure,panel,feature,group1,group2,n1,n2,median1,median2,higher_median_group,U_statistic,p_value_raw,p_value_adj,correction_method,effect_size_rbc
3,3G,HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,early,62141,89749,0.07973510370198356,0.07483541769955523,non-cancer,2881941286.0,1.0499924423404297e-28,3.149977327021289e-28,bonferroni,-0.0334923545466268
3,3G,HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,advanced,62141,46789,0.07973510370198356,0.08397187716106527,advanced,1404067565.0,3.959389016638276e-22,1.1878167049914827e-21,bonferroni,0.034180429159977876
3,3G,HALLMARK_IL6_JAK_STAT3_SIGNALING,early,advanced,89749,46789,0.07483541769955523,0.08397187716106527,advanced,1951251771.0,3.2255882268223392e-102,9.676764680467018e-102,bonferroni,0.0706700699017716
3,3L_Macrophages,CD68,Neither,KRAS only,51518,59904,0.0,1.930299162864685,KRAS only,989810290.5,0.0,0.0,fdr_bh,0.3585435996869031
3,3L_Macrophages,CD68,Neither,EGFR only,51518,10801,0.0,2.263455390930176,EGFR only,146608433.5,0.0,0.0,fdr_bh,0.4730541504304826
3,3L_Macrophages,CD68,Neither,Both,51518,106825,0.0,2.367924928665161,Both,873764168.0,0.0,0.0,fdr_bh,0.6824644675096778
3,3L_Macrophages,CD68,KRAS only,EGFR only,59904,10801,1.930299162864685,2.263455390930176,EGFR only,269232870.5,7.767737023119825e-188,1.8642568855487578e-187,fdr_bh,0.16777973202020313
3,3L_Macrophages,CD68,KRAS only,Both,59904,106825,1.930299162864685,2.367924928665161,Both,2118599298.5,0.0,0.0,fdr_bh,0.33785958664997473
3,3L_Macrophages,CD68,EGFR only,Both,10801,106825,2.263455390930176,2.367924928665161,Both,505369969.0,9.899139515262571e-101,1.9798279030525141e-100,fdr_bh,0.12400312068598929
3,3L_Fibroblasts,COL1A2,Neither,KRAS only,3840,10987,2.573838949203491,2.5558629035949707,Neither,21110517.0,0.9459275288448078,0.9459275288448078,fdr_bh,-0.0007336795758623449
3,3L_Fibroblasts,COL1A2,Neither,EGFR only,3840,2752,2.573838949203491,2.5916095972061157,EGFR only,5230093.5,0.4792021136925674,0.5227659422100736,fdr_bh,0.010171863644622081
3,3L_Fibroblasts,COL1A2,Neither,Both,3840,11147,2.573838949203491,2.5054547786712646,Neither,22320991.5,7.043450465697105e-05,9.39126728759614e-05,fdr_bh,-0.042927819704853265
3,3L_Fibroblasts,COL1A2,KRAS only,EGFR only,10987,2752,2.5558629035949707,2.5916095972061157,EGFR only,14771196.5,0.062163456880090194,0.07459614825610823,fdr_bh,0.022947012166598557
3,3L_Fibroblasts,COL1A2,KRAS only,Both,10987,11147,2.5558629035949707,2.5054547786712646,KRAS only,65140549.5,2.109708088815195e-16,3.6166424379689055e-16,fdr_bh,-0.06376154815159563
3,3L_Fibroblasts,COL1A2,EGFR only,Both,2752,11147,2.5916095972061157,2.5054547786712646,EGFR only,16483474.5,1.2301995044959134e-09,1.8452992567438701e-09,fdr_bh,-0.07466307156373286
3,3G_endothelial,HALLMARK_ANGIOGENESIS,non-cancer,early,61022,10934,0.16015458208882916,0.14601050079378305,non-cancer,355189880.0,3.83398282650741e-27,1.150194847952223e-26,bonferroni,-0.06469465051292622
3,3G_endothelial,HALLMARK_ANGIOGENESIS,non-cancer,advanced,61022,3474,0.16015458208882916,0.17709760372455302,advanced,94762530.0,6.756712956263807e-26,2.027013886879142e-25,bonferroni,0.10597350178471265
3,3G_endothelial,HALLMARK_ANGIOGENESIS,early,advanced,10934,3474,0.14601050079378305,0.17709760372455302,advanced,15800633.5,1.6800652796348214e-50,5.040195838904464e-50,bonferroni,0.16805309272287305
