feature,tumor_stage,value
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.02752835046913063
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.09482862906775344
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.08435010121572034
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.02882521951349687
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.001241276315512102
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.06610970778407683
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.14507144401025626
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.05954003501415142
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.07512772282777673
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.0980436955398756
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.01867593157714595
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.09905768863835226
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.15781659163309317
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.1413220980410353
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.020280512062126305
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.062363926298339006
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.041879799439211635
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.0816574985722318
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.1311188619539846
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.07922513969533834
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.040337122751455456
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.14959523783879636
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.028260136497795296
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.20371674245975288
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.15917657616808176
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.18657472421813834
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.10743060468790532
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.1933227584054022
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.0046454329458456844
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.08603609528779374
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.08057695206606838
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.03325141599825028
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.15232269165143644
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.005005859898748272
