tumor_stage,AT1,AT2,Adventitial fibroblasts,Alveolar Mφ MT-positive,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club (nasal),Club (non-nasal),DC2,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet (nasal),Goblet (subsegmental),Lymphatic EC differentiating,Lymphatic EC mature,Mast cells,Mesothelium,Migratory DCs,Monocyte derived Mφ,Multiciliated (nasal),Multiciliated (non-nasal),NK cells,Non classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,Plasmacytoid DCs,SMG serous (nasal),Smooth muscle,Subpleural fibroblasts,Suprabasal,T cells proliferating,Transitional Club AT2
advanced,0.007581872312272577,0.02014334546256478,0.0006439519241371706,0.00014555077737347005,0.2988863160216121,0.06333223067592898,0.0016892711434557282,0.12258903958540082,0.07045980813761164,0.02585070018745176,0.08786415260778477,0.001067372367405447,0.06509648252288014,0.00047634799867681113,0.00599404565001654,0.006457161759841217,0.0,0.02591244900209505,0.0008203771088322858,0.002355276215679788,3.969566655640093e-05,0.01009152056456059,0.007877384496636894,0.0012746719594222075,0.04325504465762488,0.0007365751461021061,0.00303892380637336,0.039982357481530485,0.006690925129562245,0.015825339067151837,0.0035681993604587056,0.022092843753445803,0.002981585621347447,0.0005822031094938802,0.003731392656301687,0.002708126585070019,0.007837688830080495,0.0133201014444812,0.006999669202778697
early,0.01138791313350129,0.06872243532586905,0.0003141699629578653,0.0003201541527284913,0.1113927004853178,0.04766407152303614,0.0011908537643545753,0.1698672108289898,0.0844040046197945,0.01262364832113556,0.015837158227961726,0.0010262885456623601,0.049387518176976425,0.0005954268821772876,0.012022237249187646,0.01545417008264166,1.4960474426565015e-05,0.003883739161136278,0.012916873619896234,0.004610818218267337,1.795256931187802e-05,0.012949786663634678,0.005406715457760596,0.0016067549534130826,0.04693100827613445,0.0015768340045599525,0.00849754947428893,0.06357603212313069,0.008087632475001048,0.01012225699701389,0.0016845494204312207,0.01329088548056036,0.0024026521929063414,3.590513862375604e-05,0.0018969881572884438,0.0005415691742416535,0.0037730316503796968,0.0142663084131724,0.17969923462212833
non-cancer,0.014736556453950575,0.12638629341129018,0.009150060749594489,0.006896466655565218,0.1459507465724277,0.009077284585638426,0.03755620108424149,0.038333302495975725,0.03564921888973178,0.0332661078937468,0.07908055334554492,0.013811435725695537,0.023985296747892265,0.005570460278399665,0.04413689319789566,0.015760356726552814,0.0,0.02226950617055526,0.000695690787647788,0.006437606774350719,0.0033649724622396558,0.012719793266354593,0.002031565119248062,0.00046996132995355896,0.08071493329879549,0.005026489290185702,0.04257405591429682,0.05325118261266429,0.021010108485824068,0.016007055587420826,0.008889793451378738,0.0039003089903232374,0.0008227407009948132,0.0028641737746775953,0.004982083495229461,0.00038731721156277563,0.06135030621496105,0.0026680481802875276,0.00821507206690473
