sample_name,disease_status,gene_set,anchor_gene,target_gene,correlation,pearson_pvalue,n_spots
P19T1,cancer,Set_1,MIF,CXCR4,-0.09858008,7.405277089804827e-07,2512
P19T1,cancer,Set_2,MIF,CD74,-0.0721014,0.0002984740641159768,2512
P19T1,cancer,Set_2,MIF,CD44,0.13322055,2.0338625160204757e-11,2512
P19T1,cancer,Set_3,ANXA1,FPR1,-0.019254077,0.3347348337860362,2512
P19T1,cancer,Set_4,PPIA,BSG,0.19553196,4.5648640594724115e-23,2512
P19T1,cancer,Set_5,FN1,CD44,-0.04302927,0.03104103460108671,2512
P19T1,cancer,Set_6,FN1,ITGA3,-0.058679484,0.0032601704022283797,2512
P19T1,cancer,Set_7,COL1A2,ITGA3,-0.089450136,7.122338133968921e-06,2512
P19T1,cancer,Set_8,APP,CD74,-0.015878143,0.42634347939793876,2512
P19T1,cancer,Set_9,LAMC1,ITGA3,-0.0061119525,0.7594671643497553,2512
P19T1,cancer,Set_10,CD6,ALCAM,-0.033345506,0.09474049097311306,2512
P15B2,non-cancer,Set_1,MIF,CD74,-0.0046766754,0.8038125240865261,2824
P15B2,non-cancer,Set_1,MIF,CXCR4,0.0017011417,0.9280003789502133,2824
P15B2,non-cancer,Set_2,MIF,CD74,-0.0046766754,0.8038125240865261,2824
P15B2,non-cancer,Set_2,MIF,CD44,0.043567795,0.020595178320942962,2824
P15B2,non-cancer,Set_3,ANXA1,FPR1,0.04130298,0.028173663577954384,2824
P15B2,non-cancer,Set_4,PPIA,BSG,0.11963085,1.800710228276768e-10,2824
P15B2,non-cancer,Set_5,FN1,CD44,0.111100405,3.2244609143983786e-09,2824
P15B2,non-cancer,Set_6,FN1,ITGA3,0.10374444,3.2837826368286647e-08,2824
P15B2,non-cancer,Set_7,COL1A2,ITGA3,-0.04510206,0.01653255630762852,2824
P15B2,non-cancer,Set_8,APP,CD74,0.03162443,0.09291060211876677,2824
P15B2,non-cancer,Set_9,LAMC1,ITGA3,0.039630197,0.03521339588763946,2824
P15B2,non-cancer,Set_10,CD6,ALCAM,-0.0035539092,0.8502680570445375,2824
P17B1,non-cancer,Set_1,MIF,CD74,0.10589068,3.4830356059778263e-05,1522
P17B1,non-cancer,Set_1,MIF,CXCR4,0.12310273,1.4575423046192573e-06,1522
P17B1,non-cancer,Set_2,MIF,CD74,0.10589068,3.4830356059778263e-05,1522
P17B1,non-cancer,Set_2,MIF,CD44,0.07106751,0.005541020982206736,1522
P17B1,non-cancer,Set_3,ANXA1,FPR1,0.08121464,0.0015189004173451993,1522
P17B1,non-cancer,Set_4,PPIA,BSG,0.12493248,1.012826001406181e-06,1522
P17B1,non-cancer,Set_5,FN1,CD44,0.10232545,6.355012148883214e-05,1522
P17B1,non-cancer,Set_6,FN1,ITGA3,0.060253516,0.018729865619100068,1522
P17B1,non-cancer,Set_7,COL1A2,ITGA3,0.04641537,0.07025201538346414,1522
P17B1,non-cancer,Set_8,APP,CD74,0.051362485,0.04512671375547426,1522
P17B1,non-cancer,Set_9,LAMC1,ITGA3,0.029412378,0.2514787227165077,1522
P17B1,non-cancer,Set_10,CD6,ALCAM,0.019117592,0.45609855504197,1522
P16T2,cancer,Set_1,MIF,CD74,0.046870902,0.027566896683736734,2210
P16T2,cancer,Set_1,MIF,CXCR4,0.032525115,0.12637214301355648,2210
P16T2,cancer,Set_2,MIF,CD74,0.046870902,0.027566896683736734,2210
P16T2,cancer,Set_2,MIF,CD44,0.023255823,0.2744814804540584,2210
P16T2,cancer,Set_3,ANXA1,FPR1,0.032358598,0.12832612715224154,2210
P16T2,cancer,Set_4,PPIA,BSG,0.112125084,1.2586865178418062e-07,2210
P16T2,cancer,Set_5,FN1,CD44,0.20775273,5.676798634025833e-23,2210
P16T2,cancer,Set_6,FN1,ITGA3,-0.016885905,0.4275304891324177,2210
P16T2,cancer,Set_7,COL1A2,ITGA3,-0.09797397,3.943886437807682e-06,2210
P16T2,cancer,Set_8,APP,CD74,0.05762046,0.006738609277007057,2210
P16T2,cancer,Set_9,LAMC1,ITGA3,0.047418743,0.02580205546815469,2210
P16T2,cancer,Set_10,CD6,ALCAM,-0.0048304684,0.8204577628216527,2210
P11T3,cancer,Set_1,MIF,CD74,0.17179309,5.837745899691521e-13,1735
P11T3,cancer,Set_1,MIF,CXCR4,-0.04624196,0.05413263135891943,1735
P11T3,cancer,Set_2,MIF,CD74,0.17179309,5.837745899691521e-13,1735
P11T3,cancer,Set_2,MIF,CD44,0.029029068,0.2268393858414159,1735
P11T3,cancer,Set_3,ANXA1,FPR1,0.03054097,0.2035462496902253,1735
P11T3,cancer,Set_4,PPIA,BSG,0.14946225,3.94254033203391e-10,1735
P11T3,cancer,Set_5,FN1,CD44,-0.009352087,0.6970739514104194,1735
P11T3,cancer,Set_6,FN1,ITGA3,-0.05307921,0.027043378592893,1735
P11T3,cancer,Set_7,COL1A2,ITGA3,-0.11630766,1.1881480876701976e-06,1735
P11T3,cancer,Set_8,APP,CD74,0.037742168,0.11606332540170478,1735
P11T3,cancer,Set_9,LAMC1,ITGA3,-0.014610622,0.5430714557856838,1735
P11T3,cancer,Set_10,CD6,ALCAM,0.0051735183,0.829501928733645,1735
P24B2,non-cancer,Set_1,MIF,CD74,0.095105454,1.6470289573401525e-07,3019
P24B2,non-cancer,Set_1,MIF,CXCR4,0.050134204,0.005864961287005872,3019
P24B2,non-cancer,Set_2,MIF,CD74,0.095105454,1.6470289573401525e-07,3019
P24B2,non-cancer,Set_2,MIF,CD44,0.124518454,6.620259162665476e-12,3019
P24B2,non-cancer,Set_3,ANXA1,FPR1,0.078776956,1.4683972441141298e-05,3019
P24B2,non-cancer,Set_4,PPIA,BSG,0.1446076,1.4139631483465586e-15,3019
P24B2,non-cancer,Set_5,FN1,CD44,0.06686014,0.00023668615300434393,3019
P24B2,non-cancer,Set_6,FN1,ITGA3,0.07859829,1.5356071693990798e-05,3019
P24B2,non-cancer,Set_7,COL1A2,ITGA3,0.07591902,2.970677724642471e-05,3019
P24B2,non-cancer,Set_8,APP,CD74,0.013990787,0.4422204649970145,3019
P24B2,non-cancer,Set_9,LAMC1,ITGA3,0.027086936,0.1367614615803236,3019
P24B2,non-cancer,Set_10,CD6,ALCAM,-0.005074367,0.7804753763888728,3019
P15T2,cancer,Set_1,MIF,CD74,0.06592631,0.00022295953416976994,3131
P15T2,cancer,Set_1,MIF,CXCR4,0.047555782,0.00778064809704559,3131
P15T2,cancer,Set_2,MIF,CD74,0.06592631,0.00022295953416976994,3131
P15T2,cancer,Set_2,MIF,CD44,0.009114871,0.6101687292275322,3131
P15T2,cancer,Set_3,ANXA1,FPR1,-0.014437981,0.4193199530490094,3131
P15T2,cancer,Set_4,PPIA,BSG,0.11278705,2.472027455868144e-10,3131
P15T2,cancer,Set_5,FN1,CD44,0.05681331,0.0014711885483257511,3131
P15T2,cancer,Set_6,FN1,ITGA3,-0.007143677,0.6894715127806719,3131
P15T2,cancer,Set_7,COL1A2,ITGA3,-0.027531317,0.12351137947915737,3131
P15T2,cancer,Set_8,APP,CD74,0.021790223,0.22286803570469116,3131
P15T2,cancer,Set_9,LAMC1,ITGA3,-0.024009166,0.17924018059859778,3131
P15T2,cancer,Set_10,CD6,ALCAM,-0.045725174,0.010500866470352942,3131
P19B1,non-cancer,Set_1,MIF,CD74,0.12800682,1.729917481800379e-09,2197
P19B1,non-cancer,Set_1,MIF,CXCR4,0.09885079,3.4490823087410707e-06,2197
P19B1,non-cancer,Set_2,MIF,CD74,0.12800682,1.729917481800379e-09,2197
P19B1,non-cancer,Set_2,MIF,CD44,0.0829218,9.9743358121165e-05,2197
P19B1,non-cancer,Set_3,ANXA1,FPR1,0.04125477,0.0531841027017703,2197
P19B1,non-cancer,Set_4,PPIA,BSG,0.11438577,7.61117990732202e-08,2197
P19B1,non-cancer,Set_5,FN1,CD44,0.07329719,0.0005854475173950507,2197
P19B1,non-cancer,Set_6,FN1,ITGA3,0.08682145,4.603612143053168e-05,2197
P19B1,non-cancer,Set_7,COL1A2,ITGA3,0.04788405,0.024804146881248632,2197
P19B1,non-cancer,Set_8,APP,CD74,0.076886445,0.0003096101638795151,2197
P19B1,non-cancer,Set_9,LAMC1,ITGA3,0.10843372,3.4936971871915114e-07,2197
P19B1,non-cancer,Set_10,CD6,ALCAM,-0.015538177,0.466651846852781,2197
P10B1,non-cancer,Set_1,MIF,CD74,0.057281747,0.016397350249844216,1755
P10B1,non-cancer,Set_1,MIF,CXCR4,0.052444253,0.028021946355551906,1755
P10B1,non-cancer,Set_2,MIF,CD74,0.057281747,0.016397350249844216,1755
P10B1,non-cancer,Set_2,MIF,CD44,0.04108517,0.08531078133127241,1755
P10B1,non-cancer,Set_3,ANXA1,FPR1,0.025744196,0.28107631855728965,1755
P10B1,non-cancer,Set_4,PPIA,BSG,0.081555545,0.0006265628912581551,1755
P10B1,non-cancer,Set_5,FN1,CD44,0.032907892,0.168205732940134,1755
P10B1,non-cancer,Set_6,FN1,ITGA3,0.02063479,0.38762986501844693,1755
P10B1,non-cancer,Set_7,COL1A2,ITGA3,0.0070194956,0.7688649861462075,1755
P10B1,non-cancer,Set_8,APP,CD74,0.05071341,0.03363872062394466,1755
P10B1,non-cancer,Set_9,LAMC1,ITGA3,0.03293848,0.16781040062612074,1755
P10B1,non-cancer,Set_10,CD6,ALCAM,0.012171337,0.6103695534173885,1755
P17B2,non-cancer,Set_1,MIF,CD74,0.15179664,4.607332371237373e-07,1093
P17B2,non-cancer,Set_1,MIF,CXCR4,0.09145872,0.0024735293074363202,1093
P17B2,non-cancer,Set_2,MIF,CD74,0.15179664,4.607332371237373e-07,1093
P17B2,non-cancer,Set_2,MIF,CD44,0.09905636,0.00104109806304065,1093
P17B2,non-cancer,Set_3,ANXA1,FPR1,0.051812116,0.08687324803341218,1093
P17B2,non-cancer,Set_4,PPIA,BSG,0.109690055,0.00027989289338834557,1093
P17B2,non-cancer,Set_5,FN1,CD44,0.14474851,1.545060679589937e-06,1093
P17B2,non-cancer,Set_6,FN1,ITGA3,0.073912,0.014520633098075945,1093
P17B2,non-cancer,Set_7,COL1A2,ITGA3,0.03660858,0.2265398088608652,1093
P17B2,non-cancer,Set_8,APP,CD74,0.082095236,0.006615719767432486,1093
P17B2,non-cancer,Set_9,LAMC1,ITGA3,0.04021045,0.18404742632968837,1093
P17B2,non-cancer,Set_10,CD6,ALCAM,0.0005314257,0.9859985436249924,1093
P25T2,cancer,Set_1,MIF,CD74,0.13996375,8.041578883785433e-08,1458
P25T2,cancer,Set_1,MIF,CXCR4,0.04295989,0.10106328758831339,1458
P25T2,cancer,Set_2,MIF,CD74,0.13996375,8.041578883785433e-08,1458
P25T2,cancer,Set_2,MIF,CD44,0.11875955,5.444258881549605e-06,1458
P25T2,cancer,Set_3,ANXA1,FPR1,0.0034698471,0.8946848441835821,1458
P25T2,cancer,Set_4,PPIA,BSG,0.22036584,1.7091713362430132e-17,1458
P25T2,cancer,Set_5,FN1,CD44,0.1430247,4.140367017927561e-08,1458
P25T2,cancer,Set_6,FN1,ITGA3,0.11900336,5.206288109027071e-06,1458
P25T2,cancer,Set_7,COL1A2,ITGA3,-0.1351892,2.202166435359423e-07,1458
P25T2,cancer,Set_8,APP,CD74,0.20064475,1.0456774924411555e-14,1458
P25T2,cancer,Set_9,LAMC1,ITGA3,0.062016167,0.01787199095634098,1458
P25T2,cancer,Set_10,CD6,ALCAM,-0.030792793,0.23997270726378536,1458
D2_2,non-cancer,Set_1,MIF,CD74,0.028940039,0.1536513507307437,2432
D2_2,non-cancer,Set_1,MIF,CXCR4,0.027347676,0.17758827861034496,2432
D2_2,non-cancer,Set_2,MIF,CD74,0.028940039,0.1536513507307437,2432
D2_2,non-cancer,Set_2,MIF,CD44,0.011817306,0.5602333899605364,2432
D2_2,non-cancer,Set_3,ANXA1,FPR1,0.02110286,0.29821217116335247,2432
D2_2,non-cancer,Set_4,PPIA,BSG,0.03363965,0.09720319785045548,2432
D2_2,non-cancer,Set_5,FN1,CD44,0.11950366,3.38953325720606e-09,2432
D2_2,non-cancer,Set_6,FN1,ITGA3,0.083373055,3.8446421715537224e-05,2432
D2_2,non-cancer,Set_7,COL1A2,ITGA3,-0.077429846,0.00013223783632559182,2432
D2_2,non-cancer,Set_8,APP,CD74,0.06226078,0.0021276390695513557,2432
D2_2,non-cancer,Set_9,LAMC1,ITGA3,0.011714184,0.5636615448225589,2432
D2_2,non-cancer,Set_10,CD6,ALCAM,0.015862793,0.43425830136715277,2432
P17T1,cancer,Set_1,MIF,CD74,-0.38210273,3.810851429744912e-93,2658
P17T1,cancer,Set_1,MIF,CXCR4,-0.26676157,1.5346350984673177e-44,2658
P17T1,cancer,Set_2,MIF,CD74,-0.38210273,3.810851429744912e-93,2658
P17T1,cancer,Set_2,MIF,CD44,0.27182716,3.029439780337308e-46,2658
P17T1,cancer,Set_3,ANXA1,FPR1,-0.060308434,0.0018669613164432257,2658
P17T1,cancer,Set_4,PPIA,BSG,0.19792324,6.947470175032901e-25,2658
P17T1,cancer,Set_5,FN1,CD44,-0.28337598,2.8607924559019093e-50,2658
P17T1,cancer,Set_6,FN1,ITGA3,-0.088595524,4.774463218582542e-06,2658
P17T1,cancer,Set_7,COL1A2,ITGA3,-0.1240534,1.385616710412926e-10,2658
P17T1,cancer,Set_8,APP,CD74,-0.0059875036,0.7576653285050675,2658
P17T1,cancer,Set_9,LAMC1,ITGA3,0.08710094,6.892085242745609e-06,2658
P17T1,cancer,Set_10,CD6,ALCAM,-0.06266044,0.0012285581327538264,2658
P25B1,non-cancer,Set_1,MIF,CD74,0.11433004,3.7445873866504846e-07,1965
P25B1,non-cancer,Set_1,MIF,CXCR4,0.035017822,0.12071741181447512,1965
P25B1,non-cancer,Set_2,MIF,CD74,0.11433004,3.7445873866504846e-07,1965
P25B1,non-cancer,Set_2,MIF,CD44,0.09578115,2.110232140344171e-05,1965
P25B1,non-cancer,Set_3,ANXA1,FPR1,0.021011587,0.35189574181616795,1965
P25B1,non-cancer,Set_4,PPIA,BSG,0.09033395,6.0717477902475157e-05,1965
P25B1,non-cancer,Set_5,FN1,CD44,0.0008871043,0.9686521398753953,1965
P25B1,non-cancer,Set_6,FN1,ITGA3,0.07803065,0.0005360848639633947,1965
P25B1,non-cancer,Set_7,COL1A2,ITGA3,-0.0015631849,0.9447911730262497,1965
P25B1,non-cancer,Set_8,APP,CD74,0.050409123,0.025446870723311636,1965
P25B1,non-cancer,Set_9,LAMC1,ITGA3,0.038361125,0.08912567648638361,1965
P25B1,non-cancer,Set_10,CD6,ALCAM,0.016453728,0.4660314129586803,1965
P11_T1,cancer,Set_1,MIF,CD74,0.15932679,9.482114547076394e-08,1110
P11_T1,cancer,Set_1,MIF,CXCR4,-0.115152895,0.00012056008986676434,1110
P11_T1,cancer,Set_2,MIF,CD74,0.15932679,9.482114547076394e-08,1110
P11_T1,cancer,Set_2,MIF,CD44,0.08963029,0.0028004337665163926,1110
P11_T1,cancer,Set_3,ANXA1,FPR1,0.03285185,0.2741410100567726,1110
P11_T1,cancer,Set_4,PPIA,BSG,0.23771724,1.0041617044596693e-15,1110
P11_T1,cancer,Set_5,FN1,CD44,-0.004374057,0.8842644169632756,1110
P11_T1,cancer,Set_6,FN1,ITGA3,0.020636518,0.49218458599929393,1110
P11_T1,cancer,Set_7,COL1A2,ITGA3,-0.10722138,0.00034550016000849066,1110
P11_T1,cancer,Set_8,APP,CD74,0.12817457,1.84211295069253e-05,1110
P11_T1,cancer,Set_9,LAMC1,ITGA3,0.077179104,0.010102808099753089,1110
P11_T1,cancer,Set_10,CD6,ALCAM,-0.029047852,0.3335984685758459,1110
P10B2,non-cancer,Set_1,MIF,CD74,0.139505,1.8244925326624037e-09,1842
P10B2,non-cancer,Set_1,MIF,CXCR4,0.057551064,0.013497041223245599,1842
P10B2,non-cancer,Set_2,MIF,CD74,0.139505,1.8244925326624037e-09,1842
P10B2,non-cancer,Set_2,MIF,CD44,0.10410054,7.570729432389197e-06,1842
P10B2,non-cancer,Set_3,ANXA1,FPR1,0.06427339,0.005788987272150211,1842
P10B2,non-cancer,Set_4,PPIA,BSG,0.059480943,0.010668841499215672,1842
P10B2,non-cancer,Set_5,FN1,CD44,0.10408932,7.58794708117922e-06,1842
P10B2,non-cancer,Set_6,FN1,ITGA3,0.06760554,0.0036974580003076756,1842
P10B2,non-cancer,Set_7,COL1A2,ITGA3,0.038336117,0.10000747014845433,1842
P10B2,non-cancer,Set_8,APP,CD74,0.056356236,0.015562924950743438,1842
P10B2,non-cancer,Set_9,LAMC1,ITGA3,0.08126656,0.00048076773356328217,1842
P10B2,non-cancer,Set_10,CD6,ALCAM,-0.012515834,0.5913936575477776,1842
