figure,panel,feature,group1,group2,n1,n2,median1,median2,higher_median_group,U_statistic,p_value_raw,p_value_adj,correction_method,effect_size_rbc
4,4G_Set_1,MIF-CD74,cancer,non-cancer,23,20,0.11773723363876343,0.11011035740375519,cancer,209.0,0.617667113457735,0.7412005361492819,fdr_bh,
4,4G_Set_1,MIF-CXCR4,cancer,non-cancer,23,20,0.01759093999862671,0.05499766021966934,non-cancer,98.0,0.0013651265171825593,0.0032763036412381424,fdr_bh,
4,4G_Set_10,CD6-ALCAM,cancer,non-cancer,22,20,-0.016757164150476456,0.0016658399254083633,non-cancer,128.0,0.021202198483708343,0.042404396967416685,fdr_bh,
4,4G_Set_2,MIF-CD44,cancer,non-cancer,23,20,0.1039901152253151,0.06713888049125671,cancer,294.0,0.12206192498826905,0.18309288748240357,fdr_bh,
4,4G_Set_2,MIF-CD74,cancer,non-cancer,23,20,0.11773723363876343,0.11011035740375519,cancer,209.0,0.617667113457735,0.7412005361492819,fdr_bh,
4,4G_Set_3,ANXA1-FPR1,cancer,non-cancer,22,20,0.00805296003818512,0.044015321880578995,non-cancer,87.0,0.0008471199928864802,0.002541359978659441,fdr_bh,
4,4G_Set_4,PPIA-BSG,cancer,non-cancer,23,20,0.18097247183322906,0.11374719440937042,cancer,390.0,0.00010287738929922626,0.0004115095571969051,fdr_bh,
4,4G_Set_5,FN1-CD44,cancer,non-cancer,23,20,0.016202639788389206,0.08659389615058899,non-cancer,143.0,0.03518619659246478,0.06031919415851106,fdr_bh,
4,4G_Set_6,FN1-ITGA3,cancer,non-cancer,23,20,-0.033666569739580154,0.0759713277220726,non-cancer,68.0,8.410130976153283e-05,0.0004115095571969051,fdr_bh,
4,4G_Set_7,COL1A2-ITGA3,cancer,non-cancer,23,20,-0.10569746792316437,0.0027281553484499454,non-cancer,49.0,1.1075368314813401e-05,0.00013290441977776082,fdr_bh,
4,4G_Set_8,APP-CD74,cancer,non-cancer,23,20,0.05762045830488205,0.059308506548404694,non-cancer,228.0,0.9708646566478347,0.9708646566478348,fdr_bh,
4,4G_Set_9,LAMC1-ITGA3,cancer,non-cancer,23,20,0.04517308622598648,0.03484783321619034,cancer,237.0,0.8742440113109863,0.953720739611985,fdr_bh,
