feature,tumor_stage,value
EMT,non-cancer,-0.07643073547814008
EMT,non-cancer,-0.02665360244619057
EMT,non-cancer,-0.02752762159627864
EMT,non-cancer,-0.04149687472956326
EMT,non-cancer,-0.05473486427614943
EMT,non-cancer,0.13544130721078482
EMT,non-cancer,-0.0229333226756335
EMT,non-cancer,-0.021724937628600373
EMT,non-cancer,-0.007635624223208903
EMT,non-cancer,0.0018904274066518303
EMT,non-cancer,-0.0162463931872453
EMT,non-cancer,-0.02031393686014224
EMT,non-cancer,-0.05462846687272921
EMT,non-cancer,0.05392846989700362
EMT,non-cancer,-0.015279142643601473
EMT,non-cancer,-0.009111194225827984
EMT,non-cancer,-0.04751094521294409
EMT,non-cancer,0.04704681575126538
EMT,non-cancer,-0.05559454300905168
EMT,non-cancer,0.04009495803876979
EMT,non-cancer,0.01015919001026866
EMT,non-cancer,-0.02779284534949046
EMT,non-cancer,0.016169965452694404
EMT,non-cancer,-0.0023895688015720673
EMT,non-cancer,0.021231854614675562
EMT,non-cancer,0.2127370063715778
EMT,non-cancer,-0.05133676674592737
EMT,non-cancer,-0.008725409081758617
EMT,non-cancer,0.04160793634244275
EMT,non-cancer,0.006134362454373127
EMT,non-cancer,-0.00031333345501154825
EMT,non-cancer,-0.08062202666609707
EMT,non-cancer,-0.02011236081549345
EMT,non-cancer,-0.018217737846484436
EMT,non-cancer,-0.032122549941972625
EMT,non-cancer,-0.02438216025272777
EMT,non-cancer,-0.05157218490622571
EMT,non-cancer,-0.027995691546789173
EMT,non-cancer,0.04144907616057382
EMT,non-cancer,0.006177795476116438
EMT,non-cancer,-0.04563934326171876
EMT,non-cancer,-0.044345700211758585
EMT,non-cancer,-0.03211305876630183
EMT,non-cancer,-0.04044285963866483
EMT,non-cancer,0.02500141075090305
EMT,non-cancer,-0.0025707754690296736
EMT,non-cancer,-0.03959076774223394
EMT,non-cancer,0.06306578083752898
EMT,non-cancer,0.13829203971181206
EMT,non-cancer,-0.014411558459059295
EMT,non-cancer,0.07438519741684972
EMT,non-cancer,0.034227408208489754
EMT,non-cancer,-0.0036430431717754674
EMT,non-cancer,0.06521564588079536
EMT,non-cancer,-0.011226520703230533
EMT,non-cancer,-0.032425871390087097
EMT,non-cancer,-0.013597991432167944
EMT,non-cancer,-0.036360918039547274
EMT,non-cancer,-0.02658795241320168
EMT,non-cancer,0.04770831960078962
EMT,non-cancer,-0.027661698063787182
EMT,non-cancer,-0.049362709748985434
EMT,non-cancer,-0.09045800743597729
EMT,non-cancer,0.10029542213901663
EMT,non-cancer,-0.021571528464985168
EMT,non-cancer,0.0152725408262753
EMT,non-cancer,0.005997485509866937
EMT,non-cancer,-0.04266969947375207
EMT,non-cancer,-0.07834508524847993
EMT,non-cancer,0.012870720442846123
EMT,non-cancer,0.011841634151227881
EMT,non-cancer,-0.006839013965397822
EMT,non-cancer,-0.013191698470101931
EMT,non-cancer,-0.046317419827156175
EMT,non-cancer,0.0034981573418169237
EMT,non-cancer,-0.02867402488972337
EMT,non-cancer,0.04913826021749623
EMT,non-cancer,-0.007684463231639141
EMT,non-cancer,-0.005936941317247715
EMT,non-cancer,0.015105422285173399
EMT,non-cancer,0.004001399763035832
EMT,non-cancer,0.051685105029719014
EMT,non-cancer,-0.027171285997550143
EMT,non-cancer,-0.027079175473633685
EMT,non-cancer,-0.018519103465231432
EMT,non-cancer,-0.026588189842378027
EMT,non-cancer,-0.024076896826884242
EMT,non-cancer,-0.01330429256477686
EMT,non-cancer,-0.04645010239109182
EMT,non-cancer,-0.05803916560126313
EMT,non-cancer,-0.014445234056164966
EMT,non-cancer,0.021766219565091963
EMT,non-cancer,0.00885951121877182
EMT,non-cancer,-0.019132225960063642
EMT,non-cancer,0.025656389983998936
EMT,non-cancer,0.05171243513695445
EMT,non-cancer,-0.025356838874926846
EMT,non-cancer,0.057316440395388205
EMT,non-cancer,-0.0326532696990527
EMT,non-cancer,0.007479669532446082
EMT,non-cancer,-0.006215418779884352
EMT,non-cancer,0.08800436096851008
EMT,non-cancer,-0.004461607177250665
EMT,non-cancer,-0.04067009983557446
EMT,non-cancer,0.019112185126422807
EMT,non-cancer,-0.04426621184225385
EMT,non-cancer,-0.004698614400814177
EMT,non-cancer,-0.039094866418014004
EMT,non-cancer,-0.030995232722257682
EMT,non-cancer,0.06679353301738113
EMT,non-cancer,-0.05740421690927115
EMT,non-cancer,0.031080865007999656
EMT,non-cancer,0.0519872326809666
EMT,non-cancer,-0.0509077657265347
EMT,non-cancer,-0.007738044969630153
EMT,non-cancer,0.09097073618204518
EMT,non-cancer,0.004972644470610604
EMT,non-cancer,-0.029850749584714703
EMT,non-cancer,-0.004156330696787558
EMT,non-cancer,0.034694704555984196
EMT,non-cancer,0.06265074111542716
EMT,non-cancer,-0.018508229214451166
EMT,non-cancer,0.03832454233416907
EMT,non-cancer,-0.028223576339589745
EMT,non-cancer,-0.07198451918896062
EMT,non-cancer,0.06302068987909587
EMT,non-cancer,0.002410498489907542
EMT,non-cancer,-0.006281633335850086
EMT,non-cancer,-0.035434024024765504
EMT,non-cancer,0.025661776993391498
EMT,non-cancer,-0.038150553084931385
