penalizer,n_samples,n_events,variable,hazard_ratio,HR_lower_95,HR_upper_95,p_value,coef,se_coef,z
0.1,562,207,onco_preds_perSD,1.143839150759176,1.0135961572739232,1.2908178404388801,0.029337738956671196,0.13439028058891275,0.06167752198053347,2.17891828778933
0.1,562,207,AGE,1.0066124242309513,0.9939803354585303,1.0194050490432336,0.3063646539773335,0.006590658052629344,0.006443237689269032,1.02287985799528
0.1,562,207,SEX_Male,1.14412309749669,0.8917661334874857,1.4678934454554393,0.2896097641914319,0.13463848987574709,0.12714001624934368,1.0589780766717662
0.1,562,207,GENETIC_ANCESTRY_LABEL_AFR,0.9547834917522375,0.49545143925084945,1.8399613845122806,0.8900491698467892,-0.04627067441113174,0.3347078131579248,-0.1382419907517961
0.1,562,207,GENETIC_ANCESTRY_LABEL_AFR_ADMIX,0.9168997149001064,0.4069441337488877,2.065898037254098,0.8341930038064104,-0.08675717486524806,0.4144577135189896,-0.2093269639708926
0.1,562,207,GENETIC_ANCESTRY_LABEL_AMR,1.4322829271622732,0.18919411124538232,10.843013928588116,0.7279455339258379,0.3592696238571064,1.0328002897852944,0.34785972410193056
0.1,562,207,GENETIC_ANCESTRY_LABEL_EAS,0.5864073629592268,0.14889813167174756,2.30945540734439,0.4453640819476382,-0.5337405722824754,0.6993762770324826,-0.7631665382577536
0.1,562,207,GENETIC_ANCESTRY_LABEL_EUR,1.0791321442562,0.6236901880583329,1.867154890463128,0.7854272144822729,0.07615714796743474,0.2797289540495169,0.27225336120891364
0.1,562,207,AJCC_PATHOLOGIC_TUMOR_STAGE_STAGE IA,0.6521781194501596,0.4468688706944305,0.9518145643677922,0.026691890462396353,-0.4274375650241616,0.1928874813590172,-2.215994330023842
0.1,562,207,AJCC_PATHOLOGIC_TUMOR_STAGE_STAGE IB,0.7246621843732469,0.5034847067553055,1.0430014544926831,0.08303227310296364,-0.3220496853057277,0.18579538130483886,-1.7333567876874894
0.1,562,207,AJCC_PATHOLOGIC_TUMOR_STAGE_STAGE II,4.404636507566768,0.5470019498002384,35.4675568722836,0.16358897533384564,1.4826577378373103,1.064285194178747,1.393101910979227
0.1,562,207,AJCC_PATHOLOGIC_TUMOR_STAGE_STAGE IIA,1.3825568636752472,0.8808399630663336,2.1700462756497223,0.15902985188671695,0.3239345846174978,0.23001132237513455,1.40834190800912
0.1,562,207,AJCC_PATHOLOGIC_TUMOR_STAGE_STAGE IIB,1.1226465466541113,0.7439519981753028,1.6941083185550094,0.5815880695290907,0.115688885924991,0.20993633249520705,0.5510665283610794
0.1,562,207,AJCC_PATHOLOGIC_TUMOR_STAGE_STAGE IIIA,1.9435318469890055,1.3081127828910664,2.8876073146477714,0.0010034203094723062,0.6645068575864873,0.20200441739734648,3.289565971616303
0.1,562,207,AJCC_PATHOLOGIC_TUMOR_STAGE_STAGE IIIB,1.379293054384731,0.6678009126711141,2.848827088696867,0.3848844360806598,0.32157108847782134,0.3700763274169264,0.8689317977249075
0.1,562,207,AJCC_PATHOLOGIC_TUMOR_STAGE_STAGE IV,1.8479251177055098,1.0746262708962768,3.1776882188063706,0.0264060818707514,0.6140634516763791,0.2765818707889043,2.220186919427742
