feature,comparison,group1,group2,n_group1,n_group2,median_group1,median_group2,U_statistic,p_value,p_value_fdr
E2F_TARGETS,0_vs_2,Non-Cancer,Advanced,810705,226725,0.02667856114022682,0.02025905692337343,95745177410.5,5.566048553451661e-204,7.059378653158204e-204
E2F_TARGETS,1_vs_2,Early,Advanced,334214,226725,0.017141924416458842,0.02025905692337343,36388130635.0,5.133313086610098e-140,6.021028883542671e-140
EPITHELIAL_MESENCHYMAL_TRANSITION,0_vs_1,Non-Cancer,Early,810705,334214,0.051842684951914145,0.03885625336287002,146917427819.0,0.0,0.0
EPITHELIAL_MESENCHYMAL_TRANSITION,0_vs_2,Non-Cancer,Advanced,810705,226725,0.051842684951914145,0.05464120683477661,89308340188.5,3.559268693735656e-94,4.052889899436221e-94
EPITHELIAL_MESENCHYMAL_TRANSITION,1_vs_2,Early,Advanced,334214,226725,0.03885625336287002,0.05464120683477661,33317830612.0,0.0,0.0
ESTROGEN_RESPONSE_EARLY,0_vs_1,Non-Cancer,Early,810705,334214,0.048642096070925844,-0.0007675508686844079,194670620787.5,0.0,0.0
ESTROGEN_RESPONSE_EARLY,0_vs_2,Non-Cancer,Advanced,810705,226725,0.048642096070925844,0.0034760520979223025,127529099608.5,0.0,0.0
ESTROGEN_RESPONSE_EARLY,1_vs_2,Early,Advanced,334214,226725,-0.0007675508686844079,0.0034760520979223025,35881885829.0,6.553386847195405e-249,8.448994612913084e-249
ESTROGEN_RESPONSE_LATE,0_vs_1,Non-Cancer,Early,810705,334214,0.09709201126725572,0.040699710725381616,203370932157.0,0.0,0.0
ESTROGEN_RESPONSE_LATE,0_vs_2,Non-Cancer,Advanced,810705,226725,0.09709201126725572,0.03959321764718114,135574558514.0,0.0,0.0
ESTROGEN_RESPONSE_LATE,1_vs_2,Early,Advanced,334214,226725,0.040699710725381616,0.03959321764718114,37462669829.0,9.652595187689104e-13,9.972217544897353e-13
FATTY_ACID_METABOLISM,0_vs_1,Non-Cancer,Early,810705,334214,0.20706420940384052,0.11059685178980348,195155715126.5,0.0,0.0
FATTY_ACID_METABOLISM,0_vs_2,Non-Cancer,Advanced,810705,226725,0.20706420940384052,0.09956068239649792,136822792385.0,0.0,0.0
FATTY_ACID_METABOLISM,1_vs_2,Early,Advanced,334214,226725,0.11059685178980348,0.09956068239649792,40662183736.5,0.0,0.0
G2M_CHECKPOINT,0_vs_1,Non-Cancer,Early,810705,334214,0.061054997950117956,0.03747986335808688,166803733615.5,0.0,0.0
G2M_CHECKPOINT,0_vs_2,Non-Cancer,Advanced,810705,226725,0.061054997950117956,0.04337429300153599,106629895452.5,0.0,0.0
G2M_CHECKPOINT,1_vs_2,Early,Advanced,334214,226725,0.03747986335808688,0.04337429300153599,35507307953.5,0.0,0.0
GLYCOLYSIS,0_vs_1,Non-Cancer,Early,810705,334214,0.12422242264428929,0.06414308064522087,191197453696.5,0.0,0.0
