mice_condition,oncoterrain_class,delta_cosine_vs_normal_like,delta_pearson_vs_normal_like
Normal Lung,Pre-malignant,0.001787002339792898,-0.0030654866535975156
Normal Lung,Tumor-like,-0.009701510653289613,-0.03160678661408334
TMet,Pre-malignant,0.002929511390867834,0.009833512403834288
TMet,Tumor-like,-0.0067357671758878634,-0.012755222563131385
TnonMet,Pre-malignant,0.0029755167222876855,0.010191512134351544
TnonMet,Tumor-like,-0.006594270319325468,-0.01466972513109871
Pleural DTCs,Pre-malignant,0.0035527747946465515,0.016829460100149463
Pleural DTCs,Tumor-like,-0.005088372324416057,-0.0010069297212886852
