stage,pathway,condition,mean_score_pseudobulk,plotted_bar_height_scaled
Early,ANGIOGENESIS,angiogenesis,0.03473891467479583,48.744017372475724
Early,APICAL_JUNCTION,angiogenesis,0.046894853388591645,58.9254736083432
Early,COAGULATION,angiogenesis,0.03308776624915327,47.36106408269629
Early,HEME_METABOLISM,angiogenesis,0.05766490477101286,67.94615143421261
Early,APICAL_SURFACE,angiogenesis,0.016912220077319885,33.81290303011816
Early,PROTEIN_SECRETION,angiogenesis,0.07419966628648035,81.79518067859168
Early,REACTIVE_OXYGEN_SPECIES_PATHWAY,apoptosis,0.08898306144884789,94.17731704888764
Early,PI3K_AKT_MTOR_SIGNALING,apoptosis,0.07676604670276654,83.94470532725995
Early,COMPLEMENT,apoptosis,0.051595569772378884,62.86265520045161
Early,P53_PATHWAY,apoptosis,0.05393816296563899,64.82474226235414
Early,APOPTOSIS,apoptosis,0.06877134031582265,77.24857472692213
Early,UV_RESPONSE_UP,apoptosis,0.046500831212700953,58.595452239015344
Early,MTORC1_SIGNALING,apoptosis,0.04219880416933073,54.99220109577928
Early,APICAL_JUNCTION,emt and metastasis,0.046894853388591645,58.9254736083432
Early,PROTEIN_SECRETION,emt and metastasis,0.07419966628648035,81.79518067859168
Early,MYOGENESIS,emt and metastasis,0.023548009821764592,39.370845075087956
Early,UNFOLDED_PROTEIN_RESPONSE,emt and metastasis,0.04289736906173885,55.57729847471677
Early,APICAL_SURFACE,emt and metastasis,0.016912220077319885,33.81290303011816
Early,HYPOXIA,emt and metastasis,0.07731357519061322,84.40329906223617
Early,EPITHELIAL_MESENCHYMAL_TRANSITION,emt and metastasis,0.017056557986909707,33.933796211983044
Early,NOTCH_SIGNALING,emt and metastasis,0.026402595537839708,41.761761994302645
Early,ADIPOGENESIS,emt and metastasis,0.049509414778358164,61.11535322131668
Early,PANCREAS_BETA_CELLS,energetics,0.03968212981524904,52.88430878081287
Early,CHOLESTEROL_HOMEOSTASIS,energetics,0.051210469433266854,62.54010649883328
Early,MYC_TARGETS_V1,energetics,0.09517004463659623,99.35935194073988
Early,WNT_BETA_CATENIN_SIGNALING,energetics,0.00577102053135643,24.481362433952004
Early,BILE_ACID_METABOLISM,energetics,0.020685953915627567,36.973671344698126
Early,FATTY_ACID_METABOLISM,energetics,0.060286922990714024,70.14227666831215
Early,MTORC1_SIGNALING,energetics,0.04219880416933073,54.99220109577928
Early,OXIDATIVE_PHOSPHORYLATION,energetics,0.027017247232941674,42.27657615068533
Early,PI3K_AKT_MTOR_SIGNALING,energetics,0.07676604670276654,83.94470532725995
Early,MYC_TARGETS_V2,energetics,-0.023457994894646478,0.0
Early,PEROXISOME,energetics,0.03978853043986502,52.97342681015661
Early,HYPOXIA,energetics,0.07731357519061322,84.40329906223617
Early,MITOTIC_SPINDLE,genome instability,0.08646128440490485,92.0651508711837
Early,G2M_CHECKPOINT,genome instability,0.030724232264184703,45.381437630431236
Early,UV_RESPONSE_DN,genome instability,0.08519532153706598,91.00481765968877
Early,DNA_REPAIR,genome instability,0.0022972496715097774,21.57183427527339
Early,UV_RESPONSE_UP,genome instability,0.046500831212700953,58.595452239015344
Early,UNFOLDED_PROTEIN_RESPONSE,genome instability,0.04289736906173885,55.57729847471677
Early,REACTIVE_OXYGEN_SPECIES_PATHWAY,genome instability,0.08898306144884789,94.17731704888764
Early,WNT_BETA_CATENIN_SIGNALING,immune,0.00577102053135643,24.481362433952004
Early,BILE_ACID_METABOLISM,immune,0.020685953915627567,36.973671344698126
Early,COAGULATION,immune,0.03308776624915327,47.36106408269629
Early,CHOLESTEROL_HOMEOSTASIS,immune,0.051210469433266854,62.54010649883328
Early,TGF_BETA_SIGNALING,immune,0.09593493311276956,100.0
Early,ALLOGRAFT_REJECTION,immune,0.060089202458582354,69.97667177409313
Early,HEDGEHOG_SIGNALING,immune,0.02978958605086754,44.59860549044125
Early,TNFA_SIGNALING_VIA_NFKB,immune,0.050488624262461874,61.93551024438834
Early,IL2_STAT5_SIGNALING,immune,0.041406261722336885,54.328390885056734
Early,XENOBIOTIC_METABOLISM,immune,0.03541864341879993,49.31333814829411
Early,COMPLEMENT,immune,0.051595569772378884,62.86265520045161
Early,FATTY_ACID_METABOLISM,immune,0.060286922990714024,70.14227666831215
Early,ANGIOGENESIS,immune,0.03473891467479583,48.744017372475724
Early,INTERFERON_ALPHA_RESPONSE,immune,0.031738339322025355,46.23082383342114
Early,INTERFERON_GAMMA_RESPONSE,immune,0.04063818014106193,53.685068375010545
Early,ADIPOGENESIS,inflammation,0.049509414778358164,61.11535322131668
Early,ALLOGRAFT_REJECTION,inflammation,0.060089202458582354,69.97667177409313
Early,INFLAMMATORY_RESPONSE,inflammation,0.02563548464138549,41.11925250127256
Early,ANGIOGENESIS,inflammation,0.03473891467479583,48.744017372475724
Early,INTERFERON_ALPHA_RESPONSE,inflammation,0.031738339322025355,46.23082383342114
Early,KRAS_SIGNALING_DN,insensitivity to antigrowth,0.006423715944247098,25.0280408878468
Early,NOTCH_SIGNALING,insensitivity to antigrowth,0.026402595537839708,41.761761994302645
Early,HEDGEHOG_SIGNALING,insensitivity to antigrowth,0.02978958605086754,44.59860549044125
Early,IL6_JAK_STAT3_SIGNALING,insensitivity to antigrowth,0.028028674297855462,43.12371767053395
Early,INTERFERON_GAMMA_RESPONSE,insensitivity to antigrowth,0.04063818014106193,53.685068375010545
Early,UNFOLDED_PROTEIN_RESPONSE,insensitivity to antigrowth,0.04289736906173885,55.57729847471677
Early,TGF_BETA_SIGNALING,insensitivity to antigrowth,0.09593493311276956,100.0
Early,MTORC1_SIGNALING,insensitivity to antigrowth,0.04219880416933073,54.99220109577928
Early,PI3K_AKT_MTOR_SIGNALING,insensitivity to antigrowth,0.07676604670276654,83.94470532725995
Early,SPERMATOGENESIS,proliferative signal,0.003653971049404977,22.70818414166659
Early,DNA_REPAIR,proliferative signal,0.0022972496715097774,21.57183427527339
Early,UV_RESPONSE_DN,proliferative signal,0.08519532153706598,91.00481765968877
Early,E2F_TARGETS,proliferative signal,-0.003854622621681037,16.419207234575726
Early,G2M_CHECKPOINT,proliferative signal,0.030724232264184703,45.381437630431236
Early,APOPTOSIS,replication,0.06877134031582265,77.24857472692213
Early,P53_PATHWAY,replication,0.05393816296563899,64.82474226235414
Early,MITOTIC_SPINDLE,replication,0.08646128440490485,92.0651508711837
Early,WNT_BETA_CATENIN_SIGNALING,replication,0.00577102053135643,24.481362433952004
Early,KRAS_SIGNALING_UP,sensitivity to growth,0.02934067027076227,44.222606855013375
Early,FATTY_ACID_METABOLISM,sensitivity to growth,0.060286922990714024,70.14227666831215
Early,NOTCH_SIGNALING,sensitivity to growth,0.026402595537839708,41.761761994302645
Early,MYC_TARGETS_V1,sensitivity to growth,0.09517004463659623,99.35935194073988
Early,HYPOXIA,sensitivity to growth,0.07731357519061322,84.40329906223617
Early,HEDGEHOG_SIGNALING,sensitivity to growth,0.02978958605086754,44.59860549044125
Early,ANDROGEN_RESPONSE,sensitivity to growth,0.0934784595196515,97.94253006931409
Early,CHOLESTEROL_HOMEOSTASIS,sensitivity to growth,0.051210469433266854,62.54010649883328
Early,MYC_TARGETS_V2,sensitivity to growth,-0.023457994894646478,0.0
Early,ESTROGEN_RESPONSE_EARLY,sensitivity to growth,0.049740228146289735,61.30867570011311
Early,INFLAMMATORY_RESPONSE,sensitivity to growth,0.02563548464138549,41.11925250127256
Early,BILE_ACID_METABOLISM,sensitivity to growth,0.020685953915627567,36.973671344698126
Early,WNT_BETA_CATENIN_SIGNALING,sensitivity to growth,0.00577102053135643,24.481362433952004
Early,GLYCOLYSIS,sensitivity to growth,0.02406506618239616,39.80391625380924
Early,UNFOLDED_PROTEIN_RESPONSE,sensitivity to growth,0.04289736906173885,55.57729847471677
